epoch,step,train_loss_epoch,train_loss_step
0,7,,0.05836699530482292
0,7,0.07901255041360855,
1,15,,0.05158735066652298
1,15,0.0554620698094368,
2,23,,0.04155077040195465
2,23,0.046189725399017334,
3,31,,0.03630015254020691
3,31,0.039702627807855606,
4,39,,0.030266059562563896
4,39,0.034534260630607605,
5,47,,0.02732793428003788
5,47,0.02989956922829151,
6,55,,0.025583047419786453
6,55,0.026514586061239243,
7,63,,0.021823430433869362
7,63,0.023295355960726738,
8,71,,0.020403163507580757
8,71,0.020836010575294495,
